Age,BusinessTravel,Department,DistanceFromHome,Education,Gender,JobRole,MaritalStatus,MonthlyIncome,YearsAtCompany,prediction
41,Travel_Rarely,Sales,1,2,Female,Sales Executive,Single,5993,6,1
49,Travel_Frequently,Research & Development,8,1,Male,Research Scientist,Married,5130,10,0
37,Travel_Rarely,Research & Development,2,2,Male,Laboratory Technician,Single,2090,0,1
33,Travel_Frequently,Research & Development,3,4,Female,Research Scientist,Married,2909,8,0
27,Travel_Rarely,Research & Development,2,1,Male,Laboratory Technician,Married,3468,2,0
32,Travel_Frequently,Research & Development,2,2,Male,Laboratory Technician,Single,3068,7,0
59,Travel_Rarely,Research & Development,3,3,Female,Laboratory Technician,Married,2670,1,0
30,Travel_Rarely,Research & Development,24,1,Male,Laboratory Technician,Divorced,2693,1,0
38,Travel_Frequently,Research & Development,23,3,Male,Manufacturing Director,Single,9526,9,0
36,Travel_Rarely,Research & Development,27,3,Male,Healthcare Representative,Married,5237,7,0
35,Travel_Rarely,Research & Development,16,3,Male,Laboratory Technician,Married,2426,5,0
29,Travel_Rarely,Research & Development,15,2,Female,Laboratory Technician,Single,4193,9,0
31,Travel_Rarely,Research & Development,26,1,Male,Research Scientist,Divorced,2911,5,0
34,Travel_Rarely,Research & Development,19,2,Male,Laboratory Technician,Divorced,2661,2,0
28,Travel_Rarely,Research & Development,24,3,Male,Laboratory Technician,Single,2028,4,1
29,Travel_Rarely,Research & Development,21,4,Female,Manufacturing Director,Divorced,9980,10,0
32,Travel_Rarely,Research & Development,5,2,Male,Research Scientist,Divorced,3298,6,0
22,Non-Travel,Research & Development,16,2,Male,Laboratory Technician,Divorced,2935,1,0
53,Travel_Rarely,Sales,2,4,Female,Manager,Married,15427,25,0
38,Travel_Rarely,Research & Development,2,3,Male,Research Scientist,Single,3944,3,0
24,Non-Travel,Research & Development,11,2,Female,Manufacturing Director,Divorced,4011,4,0
36,Travel_Rarely,Sales,9,4,Male,Sales Representative,Single,3407,5,1
34,Travel_Rarely,Research & Development,7,4,Female,Research Director,Single,11994,12,0
21,Travel_Rarely,Research & Development,15,2,Male,Research Scientist,Single,1232,0,0
34,Travel_Rarely,Research & Development,6,1,Male,Research Scientist,Single,2960,4,1
53,Travel_Rarely,Research & Development,5,3,Female,Manager,Divorced,19094,14,0
32,Travel_Frequently,Research & Development,16,1,Female,Research Scientist,Single,3919,10,1
42,Travel_Rarely,Sales,8,4,Male,Sales Executive,Married,6825,9,0
44,Travel_Rarely,Research & Development,7,4,Female,Healthcare Representative,Married,10248,22,0
46,Travel_Rarely,Sales,2,4,Female,Manager,Single,18947,2,0
33,Travel_Rarely,Research & Development,2,3,Male,Laboratory Technician,Single,2496,1,0
44,Travel_Rarely,Research & Development,10,4,Male,Healthcare Representative,Married,6465,4,0
30,Travel_Rarely,Research & Development,9,2,Male,Laboratory Technician,Single,2206,10,0
39,Travel_Rarely,Sales,5,3,Male,Sales Representative,Married,2086,1,1
24,Travel_Rarely,Research & Development,1,3,Male,Research Scientist,Married,2293,2,1
43,Travel_Rarely,Research & Development,2,2,Female,Research Scientist,Divorced,2645,5,0
50,Travel_Rarely,Sales,3,2,Male,Sales Representative,Married,2683,3,1
35,Travel_Rarely,Sales,2,3,Female,Sales Representative,Married,2014,2,0
36,Travel_Rarely,Research & Development,5,4,Female,Research Scientist,Married,3419,1,0
33,Travel_Frequently,Sales,1,3,Female,Sales Executive,Married,5376,5,0
35,Travel_Rarely,Research & Development,4,2,Male,Laboratory Technician,Divorced,1951,1,0
27,Travel_Rarely,Research & Development,2,4,Female,Laboratory Technician,Divorced,2341,1,0
26,Travel_Rarely,Research & Development,25,3,Male,Laboratory Technician,Single,2293,1,1
27,Travel_Frequently,Sales,8,3,Male,Sales Executive,Single,8726,9,0
30,Travel_Frequently,Research & Development,1,2,Female,Laboratory Technician,Single,4011,12,0
41,Travel_Rarely,Research & Development,12,3,Female,Research Director,Married,19545,22,1
34,Non-Travel,Sales,23,4,Male,Sales Executive,Single,4568,9,0
37,Travel_Rarely,Research & Development,19,2,Male,Research Scientist,Married,3022,1,0
46,Travel_Frequently,Sales,5,4,Male,Sales Executive,Single,5772,9,0
35,Travel_Rarely,Research & Development,8,1,Male,Laboratory Technician,Married,2269,1,0
48,Travel_Rarely,Research & Development,1,2,Male,Laboratory Technician,Single,5381,1,1
28,Travel_Rarely,Research & Development,5,4,Male,Laboratory Technician,Single,3441,2,1
44,Travel_Rarely,Sales,1,5,Female,Sales Executive,Divorced,5454,4,0
35,Non-Travel,Research & Development,11,2,Male,Healthcare Representative,Married,9884,4,0
26,Travel_Rarely,Sales,23,3,Female,Sales Executive,Married,4157,2,0
33,Travel_Frequently,Research & Development,1,2,Female,Research Director,Single,13458,15,0
35,Travel_Frequently,Sales,18,5,Male,Sales Executive,Married,9069,9,0
35,Travel_Rarely,Research & Development,23,4,Female,Laboratory Technician,Married,4014,2,0
31,Travel_Rarely,Research & Development,7,4,Male,Laboratory Technician,Divorced,5915,7,0
37,Travel_Rarely,Research & Development,1,4,Male,Manufacturing Director,Divorced,5993,7,0
32,Travel_Rarely,Research & Development,1,3,Male,Manufacturing Director,Married,6162,9,0
38,Travel_Frequently,Research & Development,29,5,Female,Laboratory Technician,Single,2406,10,0
50,Travel_Rarely,Research & Development,7,2,Female,Research Director,Divorced,18740,27,0
59,Travel_Rarely,Sales,25,3,Female,Sales Executive,Single,7637,21,0
36,Travel_Rarely,Research & Development,8,3,Female,Healthcare Representative,Divorced,10096,17,0
55,Travel_Rarely,Research & Development,8,3,Female,Manager,Divorced,14756,5,0
36,Travel_Frequently,Research & Development,11,3,Male,Manufacturing Director,Single,6499,6,0
45,Travel_Rarely,Research & Development,7,3,Male,Research Scientist,Divorced,9724,1,0
